Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0020600972,0.69202816,0.15040708,0.015040708,28.183,15.911762,-3.9524562,-0.00330954,0.0025812825,0.003119661,-0.009606319,5.9093145e-05,0.0024167623,0.0058722943,-0.0071488265,-3.9758787,0.5386233,-2.552077,-5.277665,-9.328403e-05,0.0020495066,0.007327754,-0.0048345733,-0.00030216295,0.0015193376,0.0043097665,-0.003943738,0.18584004,0.30799332,"[-209.75237883 -200.52026262 -177.23130825 -167.54452311 -186.50713563
 -191.19055325 -167.23350191 -167.15963588 -182.70551887 -157.74649576]",-180.75913141105792,15.688514848634444,-157.74649576028037,-209.7523788279863,1000,7000,0,42.24196321005002,0,30.262959756422788,72.5049229664728,105.48112335661426,0
0.16559115,0.30562943,1.3302995,0.13302995,12.327865,3.5192213,-16.371422,12.9579735,6.2498684,29.620481,-6.919672,16.500942,5.595462,30.714216,-2.165135,-3.0824866,1.3168906,0.49670863,-7.115242,0.056227464,0.4509173,1.1253784,-1.2824268,-0.2003717,0.08322352,-0.094599195,-0.4677144,0.30950513,0.15528515,"[-248.31617773 -251.37876513 -201.14882157 -212.3997642  -236.65337911
 -237.58134203 -224.93979461 -250.78461873 -248.1475152  -201.03185997]",-231.23820382833233,19.097635912892873,-201.03185996873373,-251.3787651252597,2000,12000,0,42.16188034089282,32.98200049530715,20.7704764935188,95.91435732971877,200.70479990076274,1
0.3095908,0.1552274,2.8877683,0.28877684,28.534382,4.261294,-29.617222,25.296654,10.647309,54.617996,-14.917496,28.97959,9.933784,57.860794,-5.908034,-3.3271968,1.2098199,1.4419845,-7.258246,0.1135541,0.38979638,1.3143734,-0.9772454,-0.20843469,0.06674733,-0.063460186,-0.4690865,0.558038,0.0816489,"[-308.48214667 -236.20604511 -220.78454545 -285.96465983 -245.84911356
 -268.79605359 -245.72562265 -199.17705236 -250.92078715 -243.59187613]",-250.549790250008,29.61095610771312,-199.17705236455774,-308.48214666784423,3000,17000,0,43.24886351823807,32.28811395308003,21.617964779026806,97.1549422503449,298.77745401859283,2
0.54893386,0.08726196,4.8524704,0.48524705,29.061104,4.823239,-46.339714,42.183025,13.1568365,84.283646,-0.1025891,46.56375,12.467995,86.88575,6.473359,-3.2811937,1.3717824,1.0882809,-7.5400743,0.043214638,0.47027314,1.9189286,-1.5536793,-0.20664339,0.076004475,-0.049106747,-0.6495507,0.753764,0.06121973,"[-143.78836915 -138.68591203 -112.81884455 -121.69072401 -127.97149908
 -209.06694622 -123.37751558 -156.05747855 -104.44968863 -119.70540432]",-135.76123821072343,28.346472627427573,-104.44968862586441,-209.0669462172701,4000,22000,0,42.96867426857352,33.20618709176779,21.9429399385117,98.11780129885301,395.22616697242483,3
0.7764463,0.052531708,7.237256,0.7237256,43.32676,10.039244,-63.192448,58.852,15.130372,113.83617,9.308786,64.5431,14.823861,113.81343,20.945656,-3.104137,1.6060246,2.8944268,-7.5435195,0.06680863,0.49880254,1.9226758,-1.372908,-0.21119244,0.091725096,0.0024010278,-0.64928174,0.92060405,0.051371843,"[-188.52086373 -160.05642317 -147.70690989 -208.72723178 -133.73984975
 -156.9290255  -164.89975776 -125.04828521 -168.04285173 -193.47276985]",-164.71439683565586,24.99284059854631,-125.04828520742674,-208.72723178178572,5000,27000,0,43.3089035442099,31.537812333088368,21.530327634885907,96.37704351218417,490.5649649677798,4
0.92265236,0.051336445,8.434088,0.84340876,35.216118,8.430434,-74.90462,69.91186,15.972688,126.75994,34.293987,73.58263,15.714586,128.46939,36.665367,-2.8829134,1.4986029,3.7177806,-6.833454,0.06435246,0.51327604,1.9853638,-1.5592855,-0.23384398,0.10498797,-0.0113859745,-0.7179337,1.0178843,0.04250083,"[-151.79513374 -162.93276438 -147.15128462 -145.74472617 -128.95805731
 -150.01460259 -192.21842933 -133.37765019 -128.87438563 -167.95424981]",-150.90212837765387,18.59750413650274,-128.87438562965554,-192.21842933225838,6000,32000,0,43.5812860801816,30.501552977599204,20.07932383241132,94.16216289019212,587.2914257170632,5
1.0181682,0.042591345,9.576448,0.9576449,39.25441,8.310037,-86.86194,83.98616,18.742405,151.65579,47.155373,85.274796,18.601213,132.48674,46.928284,-3.1312184,1.5873042,2.9333131,-6.9211426,0.017812004,0.46540222,1.9541844,-1.9846884,-0.21517003,0.101355664,-0.0061489344,-0.73644257,1.0568721,0.04502411,"[-107.83425917 -134.4388758  -117.44695325 -125.75032666  -73.35675248
  -84.37024071  -99.00594087  -53.99233715  -61.54109585 -126.99450769]",-98.47312896343854,27.333514033836128,-53.99233714892616,-134.43887579708087,7000,37000,0,44.387974727898836,33.06481331726536,21.364508517086506,98.8172965622507,686.1522840294056,6
1.0613319,0.04488374,10.342905,1.0342906,38.843193,21.359701,-101.65652,97.68727,23.980492,163.92717,57.86278,98.7585,23.798973,166.61041,63.63736,-3.214964,1.3896179,1.9597057,-6.3674264,0.012315399,0.46292523,1.8960283,-1.7398049,-0.23355329,0.10025261,0.090940714,-0.6785979,1.0979204,0.04145319,"[-45.95266423 -61.60290244 -71.36822087 -47.1051806  -13.1582554
 -50.81926584 -61.6739537  -82.97738117 -18.52707876 -43.53391899]",-49.67188220003153,20.56463391918392,-13.158255402119606,-82.97738117328277,8000,42000,0,43.162616645917296,33.10909095685929,22.25908508663997,98.53079268941656,784.7431868975982,7
1.0979568,0.041657664,11.14563,1.114563,28.661596,10.421909,-113.773964,109.389755,26.95564,188.39154,72.94373,114.68779,27.058546,197.47667,79.670876,-3.1573057,1.4279749,2.6324375,-6.765694,-0.03201894,0.46627107,1.9313345,-1.9017223,-0.23636396,0.101216555,0.10597792,-0.70060575,1.1419532,0.03755837,"[-59.87330452 -17.83489846 -71.8545005  -10.9047206  -71.58403273
  -9.13220641 -36.87867087 -35.96536922 -22.75054316  -4.44734399]",-34.12255904742957,24.372051984117,-4.447343992945109,-71.85450050443185,9000,47000,0,42.691810810007155,33.17076000524685,22.516645714640617,98.37921652989462,881.7194856475107,8
1.1372417,0.03777818,11.72912,1.172912,31.659367,7.179397,-117.81958,114.34748,27.767927,197.00972,75.42309,118.76131,28.36486,204.55684,84.16558,-3.267201,1.4309007,2.0273662,-6.361932,0.03513206,0.45367497,1.7903631,-1.9631909,-0.22874789,0.107567474,0.08112313,-0.7886902,1.1606027,0.045483314,"[-15.07297906  -7.33435856 -10.24317321   8.00023741 -58.45675469
 -15.77935169  -8.01537386 -14.0461922  -16.23445675   1.0362501 ]",-13.614615251334635,16.699370250394903,8.000237406874145,-58.4567546940165,10000,52000,0,42.66581978695467,31.77016917290166,21.60548312496394,96.04147208482027,979.2595014832914,9
1.1607916,0.0455797,11.662987,1.1662987,29.607681,8.75674,-129.58498,127.31658,32.415054,236.31355,89.65092,130.50073,32.65002,241.80768,92.4087,-3.2984648,1.4175286,1.2915066,-7.524759,0.007542758,0.46677092,1.7791708,-1.7558572,-0.23715217,0.11719772,0.26493296,-0.76352626,1.1816143,0.04508263,"[ 6.11185369 51.75237034  9.24413526 64.9956963  52.55719444 39.08494432
  7.46589628 34.04390559 31.1594491  17.39348515]",31.380893047804165,19.889735920234337,64.99569629637664,6.111853694534236,11000,57000,0,42.36824020976201,33.266366666182876,22.16512540495023,97.79973228089511,1074.651222480461,10
1.1835927,0.045223754,11.998756,1.1998757,32.248833,7.871694,-142.76549,140.76733,35.249115,244.27731,97.60948,142.14252,35.167618,250.84715,100.46678,-3.1800642,1.466007,3.694059,-6.7546625,0.058144093,0.45798707,1.5080462,-1.9619982,-0.22972734,0.114281006,0.27930713,-0.7352505,1.208993,0.045823883,"[272.9658942  181.14123446  79.07467    133.8316305  128.9309958
 167.64296372 168.42909512 177.0944402  187.36081143 113.57286621]",161.00446016503946,49.72213636036173,272.965894198641,79.07467000315766,12000,62000,0,42.3035854822956,30.85820125695318,21.268086451105773,94.42987319035456,1167.793439622037,11
1.2079556,0.045861937,12.235235,1.2235235,30.506771,9.51557,-152.44145,148.17366,38.71521,262.89227,102.13195,153.01993,39.79134,270.85574,103.26917,-3.1609511,1.4801074,2.3881633,-8.005582,0.0426883,0.47691208,2.172201,-1.8370585,-0.23474894,0.10717843,0.22917502,-0.8652712,1.2277794,0.04472827,"[249.54219435 241.99780266 193.58951365 233.54665129 123.40303788
 251.02130087 179.99137319 290.52194408 237.95189856 230.49714685]",223.2062863376139,44.084756055709946,290.5219440765163,123.4030378834662,13000,67000,0,42.30710013723001,29.574527690187097,21.614177708048373,93.49580553546548,1264.6672550505027,12
1.2270677,0.04472376,12.672585,1.2672585,27.576317,9.040525,-156.08661,153.14452,38.082855,281.83264,108.399055,156.49568,37.921284,277.76697,117.20155,-3.1251464,1.3510581,1.15365,-6.6285667,0.0315288,0.46606022,1.5845894,-1.8225046,-0.22964394,0.103285536,0.19793047,-0.7842805,1.2334087,0.050741185,"[283.16278203 199.25185456 309.33779705 284.60992609 156.38972552
 202.50260768 262.73954623 255.95735192 280.21910777 386.52401349]",262.06947123351773,61.40514371125438,386.524013491249,156.38972551853075,14000,72000,0,42.61099339509383,32.95507546002045,21.01467065513134,96.58073951024562,1360.5995521345176,13
1.2320352,0.050591785,12.208779,1.220878,36.76989,10.960081,-175.248,170.6648,46.07423,313.8325,122.313675,174.81021,45.80331,320.71243,127.4466,-2.9783516,1.5033078,1.5007019,-6.666532,0.012805298,0.49441925,1.6241202,-2.1117616,-0.24656254,0.1254228,0.31772053,-0.8626399,1.2546648,0.046989657,"[368.14599353 551.47460327 479.21103138 304.17266708 519.3472135
 334.6984743  296.02615315 566.3024509  778.29124031 402.65537882]",460.03252062452464,142.64076879890865,778.2912403144154,296.0261531526455,15000,77000,0,43.10120340809226,32.30595307610929,19.919198364950716,95.32635484915227,1453.7026953506283,14
1.2574222,0.047022916,12.526917,1.2526917,36.390167,23.787,-187.41519,183.7345,49.392025,342.20676,130.11653,183.97731,49.881306,341.52216,129.51389,-2.9938405,1.466527,1.7879374,-6.7233686,0.018197922,0.52159256,1.7157183,-1.914024,-0.26438263,0.1292547,0.19127452,-1.0364424,1.2737949,0.048073187,"[ 324.09429894  335.12848833  340.84343242  366.96223161  646.85367844
  835.09312417 1115.44310841  430.19168651  378.63944555  961.85738732]",573.510688170678,281.54121093512686,1115.4431084063585,324.09429893924283,16000,82000,0,42.072212557308376,30.082427410874516,21.673911201301962,93.82855116948485,1549.1563392947428,15
1.2731892,0.048077628,13.153128,1.3153127,35.558628,10.831697,-201.45845,198.48401,61.341423,403.41638,132.80156,202.65594,60.660152,404.85812,139.3603,-2.6592836,1.7516173,3.6335368,-7.4293675,0.019532805,0.55550194,1.8551294,-1.9014325,-0.27483907,0.13503657,0.25802267,-1.0399631,1.3069807,0.046694607,"[ 773.98590825 1468.11113766 1625.96768342 1026.68685291  599.08758512
 1206.14656651 1570.48278279 1720.23511779 1612.74556764 1674.72759047]",1327.8176792552258,382.915745431692,1720.2351177919156,599.0875851234638,17000,87000,0,42.10780535824597,31.708558866288513,19.872026523109525,93.68839074764401,1643.8396025388502,16
1.3068507,0.046612017,13.563445,1.3563446,40.374428,14.575862,-226.86494,222.65259,76.50847,415.65952,129.33469,227.1358,76.51096,434.5397,140.02516,-2.6116195,1.9291317,3.6538892,-12.030105,0.036597036,0.5841259,1.8888711,-1.9460658,-0.28591633,0.13215803,0.14121822,-0.98576915,1.3331821,0.039041124,"[1916.57753348  568.78764664 2153.62798758 2154.41305608 1324.13718089
 1864.40850363 1935.04910215 2015.87413857 1157.8693063  2188.10974475]",1727.8854200073554,508.57892261105684,2188.1097447514467,568.7876466359617,18000,92000,0,42.7711774520576,32.70342986704782,20.144336157478392,95.61894347658381,1736.4320395989344,17
1.332936,0.0389629,13.933081,1.393308,43.115383,16.060017,-235.54831,231.72572,88.57946,460.36053,146.3666,236.00883,88.03071,460.78793,151.30215,-2.2603025,2.0039499,4.8563023,-7.2395973,0.06626826,0.6166891,2.233716,-2.0703816,-0.29066566,0.14860824,-0.0016314387,-1.0322715,1.3701439,0.033238254,"[2354.28111817 2418.19780421 2311.8338507  2306.85915677 2319.28661064
  464.01333167 1212.98903057 2338.30813367 1430.45423874 2453.95206225]",1961.0175337389578,648.2363437245234,2453.952062252085,464.0133316651063,19000,97000,0,42.39368833322078,29.677535419818014,20.067608659621328,92.13883241266012,1831.766337290872,18
1.3713998,0.033314634,14.355921,1.435592,55.852654,17.857512,-270.89783,266.40155,100.397446,508.59058,163.2699,269.35526,98.74502,497.2213,168.31602,-2.082341,2.2511666,8.544183,-10.9767475,0.05093154,0.69079363,2.0510473,-2.2593732,-0.3302134,0.16345575,-0.06507003,-1.0522617,1.3988658,0.03226484,"[2427.89417958 2679.52528575 2501.96232065 2585.09543706 2464.11082209
 2612.2745451  2584.22805677 2494.07545404 2605.67878791 2546.20251824]",2550.104740719544,73.41291610919005,2679.525285753112,2427.89417957559,20000,102000,0,42.947358006145805,32.87226929701865,21.883602315559983,97.70322961872444,1929.3250639033504,19
1.3969795,0.032188494,14.978494,1.4978493,44.22353,19.815252,-280.6172,277.75757,112.606766,544.99835,168.76175,282.16754,113.47301,550.1002,174.89703,-1.9954413,2.300026,7.138862,-7.584649,0.066559315,0.6698342,2.2319143,-2.302606,-0.330361,0.15515842,0.016320847,-1.0694513,1.4407095,0.030914783,"[2227.68912838 2090.81784224 2750.57789446 2764.41643719 2857.96789534
  981.01837828 2512.47921353 2889.58863    2922.95018308 2483.42228042]",2448.0927882913397,558.022211652051,2922.950183076543,981.0183782805298,21000,107000,0,42.49451812496409,32.73039839696139,22.784715045709163,98.00963156763464,2027.3100720141083,20
